2022-07-18 09:54:30.559166 ; Settings       ; Debug       ; GuiControlsSettings loaded from D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\GUI Controls.xml [313 ms]
2022-07-18 09:54:29.036238 ; PluginManager  ; Debug       ; Loaded OpenTap. [1.01 ms]
2022-07-18 09:54:29.046211 ; PluginManager  ; Debug       ; Loaded Keysight.OpenTap.Wpf. [233 us]
2022-07-18 09:54:29.051200 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [8.21 ms]
2022-07-18 09:54:29.058182 ; PluginManager  ; Debug       ; Loaded OpenTap.Package. [15.1 ms]
2022-07-18 09:54:29.092089 ; PluginManager  ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [11.1 ms]
2022-07-18 09:54:29.248671 ; PluginManager  ; Debug       ; Loaded mscorlib. [900 ns]
2022-07-18 09:54:29.691487 ; Settings       ; Debug       ; EditorSettings loaded from D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Editor.xml [824 ms]
2022-07-18 09:54:29.703454 ; Resolver       ; Debug       ; Found match for MahApps.Metro, Version=1.3.0.0, Culture=neutral, PublicKeyToken=f4fb5a3c4d1e5b4f in D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Dependencies\MahApps.Metro.1.3.0.0\MahApps.Metro.dll
2022-07-18 09:54:29.994676 ; GUI            ; Debug       ; Loaded Light Theme. [30.6 ms]
2022-07-18 09:54:30.028586 ; Resolver       ; Debug       ; Found match for AvalonDock, Version=4.60.0.0, Culture=neutral, PublicKeyToken=3e4669d2f30244f4 in D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Dependencies\AvalonDock.4.60.0.0\AvalonDock.dll
2022-07-18 09:54:30.675854 ; Session        ; Debug       ; Session log loaded as 'SessionLogs\SessionLog 2022-07-18 09-54-30.txt'. [12.5 ms]
2022-07-18 09:54:30.682836 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [1.81 ms]
2022-07-18 09:54:31.425851 ; Main           ; Debug       ; GUI initialized. [864 ms]
2022-07-18 09:54:31.426848 ; Main           ; Debug       ; Docking manager initialized. [77.2 us]
2022-07-18 09:54:31.429837 ; OpenTAP        ; Information ; OpenTAP version '9.17.4+ea67c63a' 64-bit initialized 07/18/2022 [3.66 s]
2022-07-18 09:54:31.509624 ; PluginManager  ; Debug       ; Loaded PackageManager. [451 us]
2022-07-18 09:54:31.509624 ; PluginManager  ; Debug       ; Loaded Editor. [30.3 us]
2022-07-18 09:54:31.517603 ; PluginManager  ; Debug       ; Loaded ResultsViewer. [8.32 ms]
2022-07-18 09:54:31.529577 ; PluginManager  ; Debug       ; Loaded RunExplorer. [11.5 ms]
2022-07-18 09:54:31.535556 ; Settings       ; Debug       ; ConnectionSettings loaded from D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\Connections.xml [3.31 ms]
2022-07-18 09:54:31.536553 ; Settings       ; Debug       ; DutSettings loaded from D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\DUTs.xml [1.33 ms]
2022-07-18 09:54:31.557497 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.LedsGo. [12.2 ms]
2022-07-18 09:54:31.565476 ; Settings       ; Debug       ; InstrumentSettings loaded from D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\Instruments.xml [28.1 ms]
2022-07-18 09:54:31.566473 ; Settings       ; Debug       ; ResultSettings loaded from D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Results.xml [941 us]
2022-07-18 09:54:31.973644 ; Main           ; Information ; Latest version of 'Keysight Licensing' is 1.2, your version is 1.1. Please consider updating. [542 ms]
2022-07-18 09:54:31.973644 ; Main           ; Information ; Latest version of 'PathWave License Manager' is 2.5, your version is 2.4. Please consider updating. [542 ms]
2022-07-18 09:54:31.973644 ; Main           ; Information ; Latest version of 'OpenTAP' is 9.18, your version is 9.17. Please consider updating. [542 ms]
2022-07-18 09:54:31.973644 ; Main           ; Debug       ; Update check complete. [543 ms]
2022-07-18 09:54:32.518187 ; Resolver       ; Debug       ; Found match for Keysight.Kal.Licensing.Api, Version=4.0.0.0, Culture=neutral, PublicKeyToken=55333af07c70062e in D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Dependencies\Keysight.Kal.Licensing.Api.4.0.0\Keysight.Kal.Licensing.Api.dll
2022-07-18 09:54:32.576032 ; KAL            ; Debug       ; KAL signature verified. [42.8 ms]
2022-07-18 09:54:32.604956 ; KAL Process    ; Debug       ; Initialized [70.8 ms]
2022-07-18 09:54:32.611946 ; KAL            ; Debug       ; Initialized [80.9 ms]
2022-07-18 09:54:33.598094 ; Settings       ; Debug       ; PanelSettings loaded from D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\GUI Panels.xml [2.03 ms]
2022-07-18 09:54:34.313694 ; Main           ; Debug       ; Application startup finished. [6.54 s]
2022-07-18 09:54:35.472912 ; Settings       ; Debug       ; Saved GuiControlsSettings to D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\GUI Controls.xml [12.2 ms]
2022-07-18 09:54:35.486876 ; Settings       ; Debug       ; Saved PanelSettings to D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\GUI Panels.xml [2.38 ms]
2022-07-18 09:54:35.489867 ; Settings       ; Debug       ; Saved EditorSettings to D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Editor.xml [2.39 ms]
2022-07-18 09:54:40.583658 ; Settings       ; Debug       ; Saved GuiControlsSettings to D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\GUI Controls.xml [2.29 ms]
2022-07-18 09:54:40.585649 ; Settings       ; Debug       ; Saved PanelSettings to D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\GUI Panels.xml [1.53 ms]
2022-07-18 09:54:40.587644 ; Settings       ; Debug       ; Saved EditorSettings to D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Editor.xml [1.82 ms]
