2022-10-03 08:52:24.350034 ; Settings       ; Debug       ; GuiControlsSettings loaded from C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\GUI Controls.xml [148 ms]
2022-10-03 08:52:23.209869 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-10-03 08:52:23.342486 ; Searcher       ; Debug       ; Ordered 34 assemblies according to references. [205 ms]
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found 18 plugin assemblies containing 267 plugin types. [404 ms]
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.dll
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Package.dll
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 1.1.1.0          of Keysight.OpenTap.Licensing.dll
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Plugins.BasicSteps.dll
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.Wpf.dll
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of PackageManager.exe
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Editor.exe
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 0.1.0-Development of OpenTap.Plugins.LedsGo.dll
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 9.11.0+98498e58  of Csv.dll
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of ResultsViewer.exe
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of RunExplorer.exe
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.CommunityEditionPopup.exe
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Sdk.New.dll
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SQLite.dll
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Found version 1.2.6+ef0ad804   of OpenTap.VSSdk.Installer.dll
2022-10-03 08:52:23.540014 ; PluginManager  ; Debug       ; Searched 38 Assemblies. [405 ms]
2022-10-03 08:52:23.557950 ; PluginManager  ; Debug       ; Loaded OpenTap. [1.06 ms]
2022-10-03 08:52:23.569918 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [6.62 ms]
2022-10-03 08:52:23.569918 ; PluginManager  ; Debug       ; Loaded OpenTap.Package. [7.91 ms]
2022-10-03 08:52:23.574077 ; PluginManager  ; Debug       ; Loaded Keysight.OpenTap.Wpf. [309 us]
2022-10-03 08:52:23.595803 ; PluginManager  ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [5.23 ms]
2022-10-03 08:52:23.689591 ; PluginManager  ; Debug       ; Loaded mscorlib. [600 ns]
2022-10-03 08:52:23.851159 ; Settings       ; Debug       ; EditorSettings loaded from C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Editor.xml [607 ms]
2022-10-03 08:52:23.998766 ; GUI            ; Debug       ; Loaded Light Theme. [13.6 ms]
2022-10-03 08:52:24.016719 ; Resolver       ; Debug       ; Found match for AvalonDock, Version=4.60.0.0, Culture=neutral, PublicKeyToken=3e4669d2f30244f4 in C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Dependencies\AvalonDock.4.60.0.0\AvalonDock.dll
2022-10-03 08:52:24.453869 ; Session        ; Debug       ; Session log loaded as 'SessionLogs\SessionLog 2022-10-03 08-52-24.txt'. [5.62 ms]
2022-10-03 08:52:24.941605 ; Main           ; Debug       ; GUI initialized. [590 ms]
2022-10-03 08:52:24.941605 ; Main           ; Debug       ; Docking manager initialized. [92.9 us]
2022-10-03 08:52:24.944925 ; OpenTAP        ; Information ; OpenTAP version '9.17.4+ea67c63a' 64-bit initialized 10/03/2022 [2.07 s]
2022-10-03 08:52:24.980374 ; PluginManager  ; Debug       ; Loaded PackageManager. [333 us]
2022-10-03 08:52:24.981371 ; PluginManager  ; Debug       ; Loaded Editor. [51.9 us]
2022-10-03 08:52:24.985324 ; PluginManager  ; Debug       ; Loaded ResultsViewer. [3.83 ms]
2022-10-03 08:52:24.990349 ; PluginManager  ; Debug       ; Loaded RunExplorer. [4.29 ms]
2022-10-03 08:52:24.993342 ; Settings       ; Debug       ; ConnectionSettings loaded from C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\Connections.xml [1.67 ms]
2022-10-03 08:52:24.994304 ; Settings       ; Debug       ; DutSettings loaded from C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\DUTs.xml [1.14 ms]
2022-10-03 08:52:25.003312 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.LedsGo. [3.89 ms]
2022-10-03 08:52:25.009260 ; Settings       ; Debug       ; InstrumentSettings loaded from C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\Instruments.xml [15.4 ms]
2022-10-03 08:52:25.010296 ; Settings       ; Debug       ; ResultSettings loaded from C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Results.xml [801 us]
2022-10-03 08:52:25.540751 ; Main           ; Information ; Latest version of 'Keysight Licensing' is 1.2, your version is 1.1. Please consider updating. [594 ms]
2022-10-03 08:52:25.540751 ; Main           ; Information ; Latest version of 'OpenTAP' is 9.19, your version is 9.17. Please consider updating. [594 ms]
2022-10-03 08:52:25.540751 ; Main           ; Debug       ; Update check complete. [594 ms]
2022-10-03 08:52:26.059403 ; Settings       ; Debug       ; PanelSettings loaded from C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\GUI Panels.xml [2.95 ms]
2022-10-03 08:52:26.124230 ; Main           ; Debug       ; Application startup finished. [3.25 s]
2022-10-03 08:52:58.440601 ; Main           ; Debug       ; Loaded Test plan C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTapPrograms\ADELE\ADELE250.TapPlan [636 ms]
2022-10-03 08:53:05.281468 ; Main           ; Information ; Saved test plan to C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTapPrograms\dummy.TapPlan [26.1 ms]
2022-10-03 08:53:38.182507 ; TestPlan       ; Information ; -----------------------------------------------------------------
2022-10-03 08:53:38.244341 ; TestPlan       ; Information ; Starting TestPlan 'dummy' on 10/03/2022 08:53:38, 19 of 33 TestSteps enabled.
2022-10-03 08:53:38.362036 ; Settings       ; Debug       ; No settings file exists for TestPlanRunPackageParameterMonitor. A new instance with default values has been created. [522 us]
2022-10-03 08:53:38.363029 ; TestPlan       ; Debug       ; Saved Test Plan XML [19.5 ms]
2022-10-03 08:53:40.325656 ; Labjack        ; Information ; Resource "Labjack" opened. [1.84 s]
2022-10-03 08:53:40.364136 ; TestPlan       ; Debug       ; "48V nr DUT afleggen begin FIO2" PrePlanRun completed. [6.41 ms]
2022-10-03 08:53:40.365135 ; TestPlan       ; Debug       ; "DALI afleggen FIO4" PrePlanRun completed. [1.84 ms]
2022-10-03 08:53:40.367140 ; TestPlan       ; Debug       ; "48V inschakelen FIO6" PrePlanRun completed. [1.31 ms]
2022-10-03 08:53:40.367832 ; TestPlan       ; Debug       ; "48V nr DUT aanleggen FIO2" PrePlanRun completed. [694 us]
2022-10-03 08:53:40.369126 ; TestPlan       ; Debug       ; "Spanningen controleren \ 48V Meten AIN8" PrePlanRun completed. [1.21 ms]
2022-10-03 08:53:40.370156 ; TestPlan       ; Debug       ; "Spanningen controleren \ 3V3 Meten AIN1" PrePlanRun completed. [1.43 ms]
2022-10-03 08:53:40.371241 ; TestPlan       ; Debug       ; "Stromen controleren \ DUT nt kortgesloten AIN0" PrePlanRun completed. [632 us]
2022-10-03 08:53:40.371241 ; TestPlan       ; Debug       ; "Soldeerlinken controleren \ SL Top EIO3" PrePlanRun completed. [635 us]
2022-10-03 08:53:40.372570 ; TestPlan       ; Debug       ; "Soldeerlinken controleren \ SL Mid EIO1" PrePlanRun completed. [668 us]
2022-10-03 08:53:40.373146 ; TestPlan       ; Debug       ; "Soldeerlinken controleren \ SL Bot CIO2" PrePlanRun completed. [659 us]
2022-10-03 08:53:40.373146 ; TestPlan       ; Debug       ; "Programmeren uC DUT \ Spanning afleggen FIO2" PrePlanRun completed. [647 us]
2022-10-03 08:53:40.374110 ; TestPlan       ; Debug       ; "Programmeren uC DUT \ Spanning aanleggen FIO2" PrePlanRun completed. [670 us]
2022-10-03 08:53:40.374110 ; TestPlan       ; Debug       ; PrePlanRun Methods completed [21.8 ms]
2022-10-03 08:53:40.389070 ; TestPlan       ; Information ; "48V nr DUT afleggen begin FIO2" started.
2022-10-03 08:53:40.397050 ; TestStep       ; Debug       ; FIO2set to: Low
2022-10-03 08:53:40.406030 ; TestPlan       ; Information ; "48V nr DUT afleggen begin FIO2" completed with verdict 'Pass'. [14.0 ms]
2022-10-03 08:53:40.407178 ; TestPlan       ; Information ; "DALI afleggen FIO4" started.
2022-10-03 08:53:40.408022 ; TestStep       ; Debug       ; FIO4set to: Low
2022-10-03 08:53:40.408022 ; TestPlan       ; Information ; "DALI afleggen FIO4" completed with verdict 'Pass'. [1.56 ms]
2022-10-03 08:53:40.409065 ; TestPlan       ; Information ; "48V inschakelen FIO6" started.
2022-10-03 08:53:40.410054 ; TestStep       ; Debug       ; FIO6set to: Low
2022-10-03 08:53:40.410054 ; TestPlan       ; Information ; "48V inschakelen FIO6" completed with verdict 'Pass'. [1.36 ms]
2022-10-03 08:53:40.410054 ; TestPlan       ; Information ; "48V nr DUT aanleggen FIO2" started.
2022-10-03 08:53:40.412037 ; TestStep       ; Debug       ; FIO2set to: High
2022-10-03 08:53:40.412037 ; TestPlan       ; Information ; "48V nr DUT aanleggen FIO2" completed with verdict 'Pass'. [1.63 ms]
2022-10-03 08:53:40.412037 ; TestPlan       ; Information ; "Delay 100ms" started.
2022-10-03 08:53:40.513205 ; TestPlan       ; Information ; "Delay 100ms" completed. [100 ms]
2022-10-03 08:53:40.513606 ; TestPlan       ; Information ; "Spanningen controleren" started.
2022-10-03 08:53:40.519128 ; TestPlan       ; Information ; "Spanningen controleren \ 48V Meten AIN8" started.
2022-10-03 08:53:40.578968 ; TestStep       ; Debug       ; AIN8 measured: 47.6441628026962
2022-10-03 08:53:40.578968 ; TestPlan       ; Information ; "Spanningen controleren \ 48V Meten AIN8" completed with verdict 'Pass'. [59.8 ms]
2022-10-03 08:53:40.579720 ; TestPlan       ; Information ; "Spanningen controleren \ 3V3 Meten AIN1" started.
2022-10-03 08:53:40.634825 ; TestStep       ; Debug       ; AIN1 measured: 3.2981136059761
2022-10-03 08:53:40.634825 ; TestPlan       ; Information ; "Spanningen controleren \ 3V3 Meten AIN1" completed with verdict 'Pass'. [55.3 ms]
2022-10-03 08:53:40.637860 ; TestPlan       ; Information ; "Spanningen controleren" completed with verdict 'Pass'. [124 ms]
2022-10-03 08:53:40.637860 ; TestPlan       ; Information ; "Stromen controleren" started.
2022-10-03 08:53:40.637860 ; TestPlan       ; Information ; "Stromen controleren \ DUT nt kortgesloten AIN0" started.
2022-10-03 08:53:40.679560 ; TestStep       ; Debug       ; AIN0 measured: 24.7088964879513
2022-10-03 08:53:40.679560 ; TestPlan       ; Information ; "Stromen controleren \ DUT nt kortgesloten AIN0" completed with verdict 'Pass'. [41.4 ms]
2022-10-03 08:53:40.679560 ; TestPlan       ; Information ; "Stromen controleren" completed with verdict 'Pass'. [41.7 ms]
2022-10-03 08:53:40.679560 ; TestPlan       ; Information ; "Soldeerlinken controleren" started.
2022-10-03 08:53:40.679560 ; TestPlan       ; Information ; "Soldeerlinken controleren \ SL Top EIO3" started.
2022-10-03 08:53:40.683935 ; TestStep       ; Debug       ; EIO3read: Low
2022-10-03 08:53:40.684548 ; TestPlan       ; Information ; "Soldeerlinken controleren \ SL Top EIO3" completed with verdict 'Fail'. [4.43 ms]
2022-10-03 08:53:40.685544 ; Test Step      ; Debug       ; Break issued from 'SL Top EIO3' due to verdict Fail. See Break Conditions settings.
2022-10-03 08:53:40.685544 ; TestPlan       ; Information ; "Soldeerlinken controleren" completed with verdict 'Fail'. [5.57 ms]
2022-10-03 08:53:40.685544 ; Test Step      ; Debug       ; Break issued from 'Soldeerlinken controleren' due to verdict Fail. See Break Conditions settings.
2022-10-03 08:53:40.685544 ; TestPlan       ; Debug       ; Test step runs finished. [311 ms]
2022-10-03 08:53:40.692166 ; TestPlan       ; Debug       ; "Programmeren uC DUT \ Spanning aanleggen FIO2" PostPlanRun completed. [1.61 ms]
2022-10-03 08:53:40.692166 ; TestPlan       ; Debug       ; "Programmeren uC DUT \ Spanning afleggen FIO2" PostPlanRun completed. [54.3 us]
2022-10-03 08:53:40.692166 ; TestPlan       ; Debug       ; "Soldeerlinken controleren \ SL Bot CIO2" PostPlanRun completed. [16.5 us]
2022-10-03 08:53:40.692533 ; TestPlan       ; Debug       ; "Soldeerlinken controleren \ SL Mid EIO1" PostPlanRun completed. [10.6 us]
2022-10-03 08:53:40.692533 ; TestPlan       ; Debug       ; "Soldeerlinken controleren \ SL Top EIO3" PostPlanRun completed. [6.00 us]
2022-10-03 08:53:40.692533 ; TestPlan       ; Debug       ; "Stromen controleren \ DUT nt kortgesloten AIN0" PostPlanRun completed. [6.10 us]
2022-10-03 08:53:40.692533 ; TestPlan       ; Debug       ; "Spanningen controleren \ 3V3 Meten AIN1" PostPlanRun completed. [17.3 us]
2022-10-03 08:53:40.692533 ; TestPlan       ; Debug       ; "Spanningen controleren \ 48V Meten AIN8" PostPlanRun completed. [10.3 us]
2022-10-03 08:53:40.692533 ; TestPlan       ; Debug       ; "48V nr DUT aanleggen FIO2" PostPlanRun completed. [4.70 us]
2022-10-03 08:53:40.692533 ; TestPlan       ; Debug       ; "48V inschakelen FIO6" PostPlanRun completed. [11.5 us]
2022-10-03 08:53:40.692533 ; TestPlan       ; Debug       ; "DALI afleggen FIO4" PostPlanRun completed. [5.90 us]
2022-10-03 08:53:40.692533 ; TestPlan       ; Debug       ; "48V nr DUT afleggen begin FIO2" PostPlanRun completed. [12.2 us]
2022-10-03 08:53:40.720570 ; Summary        ; Information ; -------- Summary of test plan started 10/03/2022 08:53:38 --------
2022-10-03 08:53:40.724484 ; Summary        ; Information ;  48V nr DUT afleggen begin FIO2                     14.0 ms  Pass   
2022-10-03 08:53:40.724484 ; Summary        ; Information ;  DALI afleggen FIO4                                 1.56 ms  Pass   
2022-10-03 08:53:40.724484 ; Summary        ; Information ;  48V inschakelen FIO6                               1.36 ms  Pass   
2022-10-03 08:53:40.724484 ; Summary        ; Information ;  48V nr DUT aanleggen FIO2                          1.63 ms  Pass   
2022-10-03 08:53:40.724484 ; Summary        ; Information ;  Delay 100ms                                         100 ms         
2022-10-03 08:53:40.724484 ; Summary        ; Information ;  Spanningen controleren                              124 ms  Pass   
2022-10-03 08:53:40.724484 ; Summary        ; Information ;    48V Meten AIN8                                   59.8 ms  Pass   
2022-10-03 08:53:40.724484 ; Summary        ; Information ;    3V3 Meten AIN1                                   55.3 ms  Pass   
2022-10-03 08:53:40.724484 ; Summary        ; Information ;  Stromen controleren                                41.7 ms  Pass   
2022-10-03 08:53:40.724484 ; Summary        ; Information ;    DUT nt kortgesloten AIN0                         41.4 ms  Pass   
2022-10-03 08:53:40.724484 ; Summary        ; Information ;  Soldeerlinken controleren                          5.57 ms  Fail   
2022-10-03 08:53:40.724484 ; Summary        ; Information ;    SL Top EIO3                                      4.43 ms  Fail   
2022-10-03 08:53:40.724484 ; Summary        ; Information ; ------------------------------------------------------------------
2022-10-03 08:53:40.725486 ; Summary        ; Information ; -------- Test plan completed with verdict Fail in 2.33 s ---------
2022-10-03 08:53:40.744396 ; Labjack        ; Information ; Resource "Labjack" closed. [10.7 us]
2022-10-03 08:53:44.591886 ; TestPlan       ; Information ; -----------------------------------------------------------------
2022-10-03 08:53:44.591886 ; TestPlan       ; Information ; Starting TestPlan 'dummy' on 10/03/2022 08:53:44, 15 of 33 TestSteps enabled.
2022-10-03 08:53:44.603763 ; TestPlan       ; Debug       ; Saved Test Plan XML [10.8 ms]
2022-10-03 08:53:46.450881 ; Labjack        ; Information ; Resource "Labjack" opened. [1.85 s]
2022-10-03 08:53:46.456691 ; TestPlan       ; Debug       ; "48V nr DUT afleggen begin FIO2" PrePlanRun completed. [2.11 ms]
2022-10-03 08:53:46.458294 ; TestPlan       ; Debug       ; "DALI afleggen FIO4" PrePlanRun completed. [1.81 ms]
2022-10-03 08:53:46.460633 ; TestPlan       ; Debug       ; "48V inschakelen FIO6" PrePlanRun completed. [2.06 ms]
2022-10-03 08:53:46.462317 ; TestPlan       ; Debug       ; "48V nr DUT aanleggen FIO2" PrePlanRun completed. [1.92 ms]
2022-10-03 08:53:46.463629 ; TestPlan       ; Debug       ; "Spanningen controleren \ 48V Meten AIN8" PrePlanRun completed. [1.07 ms]
2022-10-03 08:53:46.465220 ; TestPlan       ; Debug       ; "Spanningen controleren \ 3V3 Meten AIN1" PrePlanRun completed. [1.75 ms]
2022-10-03 08:53:46.466664 ; TestPlan       ; Debug       ; "Stromen controleren \ DUT nt kortgesloten AIN0" PrePlanRun completed. [1.94 ms]
2022-10-03 08:53:46.468661 ; TestPlan       ; Debug       ; "Programmeren uC DUT \ Spanning afleggen FIO2" PrePlanRun completed. [1.75 ms]
2022-10-03 08:53:46.470607 ; TestPlan       ; Debug       ; "Programmeren uC DUT \ Spanning aanleggen FIO2" PrePlanRun completed. [1.68 ms]
2022-10-03 08:53:46.470607 ; TestPlan       ; Debug       ; PrePlanRun Methods completed [16.3 ms]
2022-10-03 08:53:46.488609 ; TestPlan       ; Information ; "48V nr DUT afleggen begin FIO2" started.
2022-10-03 08:53:46.489973 ; TestStep       ; Debug       ; FIO2set to: Low
2022-10-03 08:53:46.489973 ; TestPlan       ; Information ; "48V nr DUT afleggen begin FIO2" completed with verdict 'Pass'. [1.47 ms]
2022-10-03 08:53:46.489973 ; TestPlan       ; Information ; "DALI afleggen FIO4" started.
2022-10-03 08:53:46.490550 ; TestStep       ; Debug       ; FIO4set to: Low
2022-10-03 08:53:46.490550 ; TestPlan       ; Information ; "DALI afleggen FIO4" completed with verdict 'Pass'. [1.18 ms]
2022-10-03 08:53:46.491610 ; TestPlan       ; Information ; "48V inschakelen FIO6" started.
2022-10-03 08:53:46.492548 ; TestStep       ; Debug       ; FIO6set to: Low
2022-10-03 08:53:46.492548 ; TestPlan       ; Information ; "48V inschakelen FIO6" completed with verdict 'Pass'. [1.33 ms]
2022-10-03 08:53:46.492548 ; TestPlan       ; Information ; "48V nr DUT aanleggen FIO2" started.
2022-10-03 08:53:46.493544 ; TestStep       ; Debug       ; FIO2set to: High
2022-10-03 08:53:46.493544 ; TestPlan       ; Information ; "48V nr DUT aanleggen FIO2" completed with verdict 'Pass'. [1.24 ms]
2022-10-03 08:53:46.494540 ; TestPlan       ; Information ; "Delay 100ms" started.
2022-10-03 08:53:46.594674 ; TestPlan       ; Information ; "Delay 100ms" completed. [100 ms]
2022-10-03 08:53:46.594852 ; TestPlan       ; Information ; "Spanningen controleren" started.
2022-10-03 08:53:46.594852 ; TestPlan       ; Information ; "Spanningen controleren \ 48V Meten AIN8" started.
2022-10-03 08:53:46.640529 ; TestStep       ; Debug       ; AIN8 measured: 47.6441628670692
2022-10-03 08:53:46.641526 ; TestPlan       ; Information ; "Spanningen controleren \ 48V Meten AIN8" completed with verdict 'Pass'. [46.5 ms]
2022-10-03 08:53:46.641526 ; TestPlan       ; Information ; "Spanningen controleren \ 3V3 Meten AIN1" started.
2022-10-03 08:53:46.674438 ; TestStep       ; Debug       ; AIN1 measured: 3.2980725812912
2022-10-03 08:53:46.674438 ; TestPlan       ; Information ; "Spanningen controleren \ 3V3 Meten AIN1" completed with verdict 'Pass'. [32.7 ms]
2022-10-03 08:53:46.674438 ; TestPlan       ; Information ; "Spanningen controleren" completed with verdict 'Pass'. [79.7 ms]
2022-10-03 08:53:46.674438 ; TestPlan       ; Information ; "Stromen controleren" started.
2022-10-03 08:53:46.674438 ; TestPlan       ; Information ; "Stromen controleren \ DUT nt kortgesloten AIN0" started.
2022-10-03 08:53:46.708354 ; TestStep       ; Debug       ; AIN0 measured: 24.7713575214148
2022-10-03 08:53:46.708354 ; TestPlan       ; Information ; "Stromen controleren \ DUT nt kortgesloten AIN0" completed with verdict 'Pass'. [34.0 ms]
2022-10-03 08:53:46.708354 ; TestPlan       ; Information ; "Stromen controleren" completed with verdict 'Pass'. [34.3 ms]
2022-10-03 08:53:46.709347 ; TestPlan       ; Information ; "Programmeren uC DUT" started.
2022-10-03 08:53:46.710340 ; TestPlan       ; Information ; "Programmeren uC DUT \ Run Program" started.
2022-10-03 08:53:46.716328 ; TestStep       ; Debug       ; Starting process ..\..\..\..\..\..\..\..\Program Files\SEGGER\JLink\JLink.exe with arguments "-commanderscript AppFirmware.jlink"
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; SEGGER J-Link Commander V7.62b (Compiled Mar  8 2022 15:16:51)
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; DLL version V7.62b, compiled Mar  8 2022 15:15:34
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; 
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; 
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; J-Link Command File read successfully.
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; Processing script file...
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; J-Link>device MKL03Z32xxx4
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; J-Link connection not established yet but required for command.
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; Connecting to J-Link via USB...O.K.
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; Firmware: J-Link V11 compiled Sep 22 2022 14:53:28
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; Hardware version: V11.00
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; S/N: 51020380
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; License(s): GDB
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; USB speed mode: High speed (480 MBit/s)
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; VTref=3.300V (fixed)
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; J-Link>si SWD
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; Selecting SWD as current target interface.
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; J-Link>speed 1000
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; Selecting 1000 kHz as target interface speed
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; J-Link>Sleep 600
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; Sleep(600)
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; J-Link>erase
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; Target connection not established yet but required for command.
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; Device "MKL03Z32XXX4" selected.
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; 
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; 
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; Connecting to target via SWD
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; ConfigTargetSettings() start
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; ConfigTargetSettings() end
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; InitTarget() start
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; InitTarget()
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; Connect Under Reset
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; InitTarget() end
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; Found SW-DP with ID 0x0BC11477
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; DPIDR: 0x0BC11477
2022-10-03 08:53:49.840425 ; TestStep       ; Information ; CoreSight SoC-400 or earlier
