2022-07-25 10:34:16.751086 ; Settings       ; Debug       ; GuiControlsSettings loaded from C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\GUI Controls.xml [282 ms]
2022-07-25 10:34:17.388630 ; Main           ; Debug       ; Docking manager initialized. [72.3 us]
2022-07-25 10:34:17.391620 ; OpenTAP        ; Information ; OpenTAP version '9.17.4+ea67c63a' 64-bit initialized 07/25/2022 [3.52 s]
2022-07-25 10:34:17.437497 ; PluginManager  ; Debug       ; Loaded PackageManager. [404 us]
2022-07-25 10:34:17.437497 ; PluginManager  ; Debug       ; Loaded Editor. [29.3 us]
2022-07-25 10:34:17.446476 ; PluginManager  ; Debug       ; Loaded ResultsViewer. [8.51 ms]
2022-07-25 10:34:17.454456 ; PluginManager  ; Debug       ; Loaded RunExplorer. [7.77 ms]
2022-07-25 10:34:17.457445 ; Settings       ; Debug       ; ConnectionSettings loaded from C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\Connections.xml [1.66 ms]
2022-07-25 10:34:17.458442 ; Settings       ; Debug       ; DutSettings loaded from C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\DUTs.xml [960 us]
2022-07-25 10:34:17.482378 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.LedsGo. [15.7 ms]
2022-07-25 10:34:17.490356 ; Settings       ; Debug       ; InstrumentSettings loaded from C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\Instruments.xml [31.6 ms]
2022-07-25 10:34:17.492351 ; Settings       ; Debug       ; ResultSettings loaded from C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Results.xml [1.41 ms]
2022-07-25 10:34:17.894275 ; Main           ; Information ; Latest version of 'Keysight Licensing' is 1.2, your version is 1.1. Please consider updating. [500 ms]
2022-07-25 10:34:17.894275 ; Main           ; Information ; Latest version of 'OpenTAP' is 9.18, your version is 9.17. Please consider updating. [500 ms]
2022-07-25 10:34:17.894275 ; Main           ; Debug       ; Update check complete. [500 ms]
2022-07-25 10:34:19.451243 ; Settings       ; Debug       ; PanelSettings loaded from C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\GUI Panels.xml [2.71 ms]
2022-07-25 10:34:20.206192 ; Main           ; Debug       ; Application startup finished. [6.33 s]
2022-07-25 10:34:57.108371 ; Serializer     ; Warning     ; XML line 4 column 6: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.108371 ; Serializer     ; Warning     ; XML line 4 column 6: Unable to deserialize step.
2022-07-25 10:34:57.108371 ; Serializer     ; Warning     ; XML line 28 column 6: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.108371 ; Serializer     ; Warning     ; XML line 28 column 6: Unable to deserialize step.
2022-07-25 10:34:57.108371 ; Serializer     ; Warning     ; XML line 52 column 6: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.108371 ; Serializer     ; Warning     ; XML line 52 column 6: Unable to deserialize step.
2022-07-25 10:34:57.108371 ; Serializer     ; Warning     ; XML line 76 column 6: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.108371 ; Serializer     ; Warning     ; XML line 76 column 6: Unable to deserialize step.
2022-07-25 10:34:57.150251 ; Serializer     ; Warning     ; XML line 111 column 10: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.150251 ; Serializer     ; Warning     ; XML line 111 column 10: Unable to deserialize step.
2022-07-25 10:34:57.150251 ; Serializer     ; Warning     ; XML line 142 column 10: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.150251 ; Serializer     ; Warning     ; XML line 142 column 10: Unable to deserialize step.
2022-07-25 10:34:57.150251 ; Serializer     ; Warning     ; XML line 173 column 10: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.150251 ; Serializer     ; Warning     ; XML line 173 column 10: Unable to deserialize step.
2022-07-25 10:34:57.150251 ; Serializer     ; Warning     ; XML line 197 column 10: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.150251 ; Serializer     ; Warning     ; XML line 197 column 10: Unable to deserialize step.
2022-07-25 10:34:57.150251 ; Serializer     ; Warning     ; XML line 221 column 10: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.150251 ; Serializer     ; Warning     ; XML line 221 column 10: Unable to deserialize step.
2022-07-25 10:34:57.171205 ; Serializer     ; Warning     ; XML line 292 column 10: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.171205 ; Serializer     ; Warning     ; XML line 292 column 10: Unable to deserialize step.
2022-07-25 10:34:57.171205 ; Serializer     ; Warning     ; XML line 316 column 10: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.171205 ; Serializer     ; Warning     ; XML line 316 column 10: Unable to deserialize step.
2022-07-25 10:34:57.171205 ; Serializer     ; Warning     ; XML line 340 column 10: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.171205 ; Serializer     ; Warning     ; XML line 340 column 10: Unable to deserialize step.
2022-07-25 10:34:57.171205 ; Serializer     ; Warning     ; XML line 379 column 6: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.171205 ; Serializer     ; Warning     ; XML line 379 column 6: Unable to deserialize step.
2022-07-25 10:34:57.175184 ; Serializer     ; Error       ; XML Line 4: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.175184 ; Serializer     ; Error       ; XML Line 28: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.175184 ; Serializer     ; Error       ; XML Line 52: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.175184 ; Serializer     ; Error       ; XML Line 76: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.175184 ; Serializer     ; Error       ; XML Line 111: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.175184 ; Serializer     ; Error       ; XML Line 142: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.175184 ; Serializer     ; Error       ; XML Line 173: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.175184 ; Serializer     ; Error       ; XML Line 197: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.175184 ; Serializer     ; Error       ; XML Line 221: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.175184 ; Serializer     ; Error       ; XML Line 292: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.175184 ; Serializer     ; Error       ; XML Line 316: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.175184 ; Serializer     ; Error       ; XML Line 340: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:57.175184 ; Serializer     ; Error       ; XML Line 379: Unable to locate type 'LedsGo.Plugin.Steps.DAQLJStep'. Are you missing a plugin?
2022-07-25 10:34:59.868563 ; Main           ; Debug       ; Loaded Test plan C:\Engineering\Projecten\LedsGo\versie1MijnLaatsteVersie\OpentapPrograms\SIDDALI.TapPlan [2.79 s]
2022-07-25 10:35:03.970709 ; Settings       ; Debug       ; Saved GuiControlsSettings to C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\GUI Controls.xml [17.8 ms]
2022-07-25 10:35:03.987616 ; Settings       ; Debug       ; Saved PanelSettings to C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\GUI Panels.xml [1.35 ms]
2022-07-25 10:35:03.989610 ; Settings       ; Debug       ; Saved EditorSettings to C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Editor.xml [1.80 ms]
